,pca_0,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7,pca_8,pca_9
1464454,-374143444875.5546,80529717845.13916,5657316818.019749,62658428.02021589,-16855.14206047149,1566.494235226247,-349.2308140358531,-19.033292820217678,67.51744450900613,-1.4756708374227947
1487723,-374200777915.0136,61252868397.05064,-7760196492.179677,-4463475.698263147,-21924.915583003152,-11307.150754042796,243.6718360689546,44.442491030143636,25.77632016521059,-1.9891769752313349
1508348,-374947508575.75867,69928986694.95819,-1264284013.8821259,55468427.05478321,-10303.428399712053,-13604.74576221593,193.64034938220718,23.762214481842253,-19.814366032986907,-1.8162128523230672
1529050,-374552079072.7573,-80680226456.82353,-5223049793.424719,-93890381.45841928,-21322.551134122325,1135.2592599195582,62.92094562238517,5.575916618715361,9.97384648216325,26.700908647688482
1627703,-374207455563.4354,88295432807.8726,5182365714.34696,-32219100.459208358,-31126.19113440461,4611.023422461484,-297.72588842883795,-19.753144524390404,-21.163095034250734,-7.658616831006108
1658717,-374128121240.52203,48849179541.10413,6107969091.636017,16410486.057505237,-16854.920864016753,-1720.8480810302015,-141.8677533485565,-8.090901343698157,56.339453976593276,-5.524368687355057
1669735,-374214929535.0268,198900079068.9625,-1950315502.594212,-41511596.80404539,-8770.71332732993,4873.027844470673,-473.09941121980097,52.13555029468062,25.88805024611824,-8.153882730304845
1672112,-374191740089.9869,88741497826.67807,4115243961.2940345,39537468.235240854,-23597.840081655362,5955.976382550638,-443.5667912744175,-16.743629385497282,-23.467732249812425,1.2048979398499735
1683026,-374502335936.79865,247690759230.84167,-3349193448.532322,-20862838.05654101,36279.77651206232,13666.527689866163,-1002.1201152560832,-31.249910701862863,40.75445702973199,-8.556978464551426
1729605,-374993775462.5861,-12636054555.553776,7965377528.083482,80378425.29706685,-14656.627915356185,-13293.644434379627,239.3928922953612,-5.349494120568649,-58.41265325580202,-1.3668332949818296
1784496,-374547124497.9621,-75187758487.39859,-7087231075.090248,-73912656.73576441,8460.33156262334,1201.86378665325,-63.145987973446765,88.76456793546556,9.59296049836203,3.8987925325956683
1786075,-374457654327.9832,-67406847521.49643,-10017158979.839334,-104219197.48601492,5106.379309683969,136.77913342021506,19.353156010058996,-16.055813429014968,9.175599587541537,8.145794308971476
1874841,-374217722970.8021,100362442031.13943,4652614907.727457,38906428.17808417,-28898.32091439195,7650.375895583959,-514.4295295621469,-19.872477245200365,57.77256107583737,0.8663398953860193
1875775,-374505169976.0254,-56317184835.41463,17273206415.22671,39328224.61302969,-31476.903645024304,-1941.7236591180954,-20.92870386323789,-98.05795482624299,-26.601135254768725,-5.213883788996613
1913872,-374517575018.1462,26787265570.96649,2866245125.1830263,-61739860.53156966,-18329.50979190491,-8446.357081842683,226.68227349186927,32.059305757499786,50.667547941731144,-10.104595009568309
1928574,-374238470612.1433,124742871446.78418,5344552541.300128,-36981398.18245952,-25392.705148182104,9603.905903856059,-524.2789789745461,-32.35174051609961,-13.579489000787392,-8.23838910995925
1930083,-374504924289.29926,-8255924985.974153,1775477303.573468,89512079.47978953,-16950.69011287742,-14290.910123908669,273.68220383124316,13.290451949684398,-61.11284636743045,0.6720156816611004
2002965,-374892568417.68646,-66047297236.787315,18961690634.432503,-11346733.775265338,-17251.088926277953,4338.974084016456,-215.03635893482252,174.2306133892715,-6.717146859360829,-7.552055651412478
2007206,-374587716651.6389,-76253672298.26312,-4355235023.715091,24114250.39119855,-18957.43011334464,1475.7185129793984,-112.71875559900678,61.786867695734685,0.2568477919671895,-0.999542322314551
2025717,-374640838093.93256,-64936727151.5884,987704002.8503928,13823350.422876116,-26564.303275795606,4589.36132845342,-203.89330500755224,-22.586102466803773,-5.775666435688547,2.0048939299959896
2127278,-271876303447.06445,71209803160.76515,-4982520904.474038,101868398.89868689,-3292.335068694588,-11996.519289458565,59.067220450951865,36.9161261517966,-41.76935569727654,6.030835331898476
2161088,-374691374572.3655,-68488904528.19208,2898691181.595822,42048584.31749446,-26046.903187517026,3922.3346361462786,-216.75610068431334,-23.88363727438855,1.8910423004301256,18.44975497798921
2164726,-374077694343.0484,70057714933.13797,5379470512.598917,115272096.44972008,-18694.491208169224,-791.1636364574408,-315.9654923096004,23.518351676966248,104.369428214022,1.3066273357435916
2167830,-374604080979.0448,-84901183524.73497,-2066220797.289903,-15192596.865230665,3969.9299394644718,1924.1332490021125,-145.42179069469728,16.584148831199464,6.453079840034677,12.89252699964957
2177920,-374633142980.6065,-81734709881.00859,-853775124.2636601,75799546.85353592,3027.2079938900342,1975.0838978420559,-265.02452813110796,36.29972184314258,-1.5860959192822721,18.924052330392108
2203879,-370661201241.2074,50697635726.20853,-1935624550.4767447,74788779.96201509,-14825.739116864568,-16050.135294334845,291.0909119124584,28.886605000589746,936.9368847524748,3.494748292195883
2206736,-374377090911.7081,-67921656180.14097,-12891055866.973284,-20104586.54783181,3902.0438985525802,-1718.8711646896706,-14.286688339291453,18.717669189842166,-1.3404393098189389,45.42271235508907
2212797,-374626477584.3835,-82093639355.92976,-1465834208.6031728,75224697.46253742,-22345.843779598872,2013.5999288618923,-175.60049796529304,11.281309357499879,-2.67343188114417,1.7453963894071665
2244413,-374059630710.18036,196966644926.31018,-4967631046.003765,-99320517.94362012,58957.09083839799,3483.4135992707543,-560.3921136487129,-55.94893148752044,-13.20361443532929,-2.2829690084754604
2253852,-374581002773.4204,-70067729429.28662,-2714180151.977292,78691269.41173376,2062.5340432619114,3719.71882789162,-336.91821051259944,40.26044755223846,-10.383003323592034,1.5804838150083058
2295565,-374956590824.9989,56558662805.84078,-4652433119.5455,16493200.694962798,3546.495245385062,-13921.1235090259,228.81437505974992,8.121572707090959,132.747135040896,1.9889649815321246
2301036,-374688387048.9895,-78691138622.42908,3158974718.953031,-28668690.561028942,-27214.57321487408,2848.223637654326,-74.75736679390614,-40.49707201756406,-4.912142225735602,-6.2986044909020755
2304178,-374617878953.16736,-85596599062.93555,-2623990777.50689,108882252.51187348,4014.6079215602185,2239.1389139177086,-313.269398251766,149.95434309805296,8.383931918236023,21.775956541607176
2327482,-374623677009.87036,-67320834547.12219,3186199440.5742884,-6182979.924167964,16900.069314167016,5603.057729131947,-352.87362956568643,11.830309435546255,328.412014052402,-6.47904548783051
2373842,-374683445935.0722,-73771698770.12466,1961299439.2882361,-62697926.381169975,-21046.531520246648,3131.8002498876012,-56.65307351172273,-39.03599342816716,-1.5400707825771887,-5.640345520581252
2385050,-374906203432.77246,55461540120.57107,-1172392214.5083518,30918420.161037926,-24084.89819656604,-16493.798389678057,385.65544653705746,34.464913790570755,-57.24392666427977,-2.820457119612415
2393198,-374523437489.3989,-86537006950.0614,-8514776187.831225,81169086.70337886,-16471.6087372064,393.9045981727401,-114.9726693293659,101.87254141800801,6.392449389149067,3.806994120034306
2405421,-374195979480.70886,133131603597.99011,3912097817.432482,-7648166.14271903,-11647.00093327121,9715.43112394438,-616.3129465227989,-27.414134488261055,-15.717841209613551,-2.5233759721796427
2430760,-374640748455.4624,-69244215230.99583,-1991447689.0727515,-3509871.801828465,-26813.658036329718,5317.102860743708,10072.174129145327,-26.760165120439634,4.075021113077677,-5.563910816885978
2439801,-374568243776.2214,-75591747928.19315,-4573181713.331985,2801452.926759718,-24053.325022168952,2144.4562309463004,-85.27078337369358,-0.2433413115345902,25.90663536304725,-2.63756683787887
2442719,-374960702373.0106,56857007442.16714,-1381511416.9334843,106581975.73136565,-2519.5339362696795,-15226.55858057898,174.72359499034746,62.33745051129652,-14.547325697012045,1.3125447824321446
2463262,-370035590330.7373,-24720707348.510147,8003066215.046399,89395523.11629456,-12831.649844814987,-9226.409807016,91.46073199919147,3.766580470240584,8.171808638175305,-0.7807039803595356
2467787,-374940941791.14935,86012635892.48296,-3523365920.563043,-85143808.37283769,-12298.207931107834,-12732.462620544893,338.5309617498475,7.552252755864844,-11.861830809937954,402.1900661361782
